2024-04-13 11:09:54.542 | INFO     | bdd:create_character:153 - Un nouveau personnage a été créé pour l'utilisateur 402rayan (724383641752436757).
2024-04-13 11:09:54.542 | INFO     | bdd:summon_character:178 - Le joueur 402rayan (724383641752436757) a invoqué Makima.
2024-04-13 11:12:44.669 | INFO     | bdd:insert_user:91 - Vérification de l'utilisateur 402rayan (724383641752436757) dans la base de données.
2024-04-13 11:12:44.670 | INFO     | bdd:insert_user:99 - L'utilisateur 402rayan (724383641752436757) existe déjà dans la base de données.
2024-04-13 11:12:44.683 | INFO     | bdd:create_character:153 - Un nouveau personnage a été créé pour l'utilisateur 402rayan (724383641752436757).
2024-04-13 11:12:44.683 | INFO     | bdd:summon_character:178 - Le joueur 402rayan (724383641752436757) a invoqué Aki.
2024-04-13 11:12:46.548 | INFO     | __main__:on_ready:21 - MOUSSE#9964 est bien connecté!
2024-04-13 11:12:46.549 | INFO     | bdd:create_tables:87 - Les tables ont été créées.
2024-04-13 11:13:06.646 | INFO     | __main__:on_ready:21 - MOUSSE#9964 est bien connecté!
2024-04-13 11:13:06.648 | INFO     | bdd:create_tables:87 - Les tables ont été créées.
2024-04-13 11:13:07.643 | INFO     | bdd:insert_user:91 - Vérification de l'utilisateur 402rayan (724383641752436757) dans la base de données.
2024-04-13 11:13:07.644 | INFO     | bdd:insert_user:99 - L'utilisateur 402rayan (724383641752436757) existe déjà dans la base de données.
2024-04-13 11:13:07.660 | INFO     | bdd:create_character:153 - Un nouveau personnage a été créé pour l'utilisateur 402rayan (724383641752436757).
2024-04-13 11:13:07.662 | INFO     | bdd:summon_character:178 - Le joueur 402rayan (724383641752436757) a invoqué Aki.
2024-04-13 11:17:39.418 | INFO     | __main__:on_ready:21 - MOUSSE#9964 est bien connecté!
2024-04-13 11:17:39.420 | INFO     | bdd:create_tables:87 - Les tables ont été créées.
2024-04-13 11:17:40.194 | INFO     | bdd:insert_user:91 - Vérification de l'utilisateur 402rayan (724383641752436757) dans la base de données.
2024-04-13 11:17:40.196 | INFO     | bdd:insert_user:99 - L'utilisateur 402rayan (724383641752436757) existe déjà dans la base de données.
2024-04-13 11:17:40.213 | INFO     | bdd:create_character:153 - Un nouveau personnage a été créé pour l'utilisateur 402rayan (724383641752436757).
2024-04-13 11:17:40.217 | INFO     | bdd:summon_character:179 - Le joueur 402rayan (724383641752436757) a invoqué Aki.
2024-04-13 11:18:02.889 | INFO     | __main__:on_ready:21 - MOUSSE#9964 est bien connecté!
2024-04-13 11:18:02.890 | INFO     | bdd:create_tables:87 - Les tables ont été créées.
2024-04-13 11:18:03.747 | INFO     | bdd:insert_user:91 - Vérification de l'utilisateur 402rayan (724383641752436757) dans la base de données.
2024-04-13 11:18:03.748 | INFO     | bdd:insert_user:99 - L'utilisateur 402rayan (724383641752436757) existe déjà dans la base de données.
2024-04-13 11:18:03.761 | INFO     | bdd:create_character:153 - Un nouveau personnage a été créé pour l'utilisateur 402rayan (724383641752436757).
2024-04-13 11:18:03.761 | INFO     | bdd:summon_character:179 - Le joueur 402rayan (724383641752436757) a invoqué Aki.
